name,player_id,affiliate,level,pos,inningsPitched,strikeOuts,baseOnBalls,homeRuns
Joe Adametz,701564,Durham Bulls,AAA,P,120.2,96.0,46.0,14.0
Jordan Balazovic,666364,Durham Bulls,AAA,P,114.4,106.0,46.0,16.0
Austin Bergner,666123,Durham Bulls,AAA,P,194.0,190.0,86.0,22.0
Ryan Boyer,801682,Durham Bulls,AAA,P,176.60000000000002,192.0,54.0,36.0
John Brebbia,605154,Durham Bulls,AAA,P,60.60000000000001,66.0,12.0,3.0
Beau Brieske,689225,Durham Bulls,AAA,P,22.0,20.0,18.0,8.0
Blair Calvo,663971,Durham Bulls,AAA,P,78.6,96.0,36.0,12.0
Andrew Chafin,605177,Durham Bulls,AAA,P,12.2,17.0,4.0,0.0
Alex Cobb,502171,Durham Bulls,AAA,P,40.4,48.0,30.0,2.0
Ryan Cusick,680743,Durham Bulls,AAA,P,130.3,140.0,83.0,30.0
Randy Dobnak,677976,Durham Bulls,AAA,P,294.59999999999997,231.0,153.0,39.0
Dietrich Enns,608650,Durham Bulls,AAA,P,62.1,71.0,15.0,4.0
Colin Fields,802953,Durham Bulls,AAA,P,140.4,172.0,38.0,6.0
Kyle Finnegan,640448,Durham Bulls,AAA,P,0.2,1.0,1.0,0.0
Jason Foley,671345,Durham Bulls,AAA,P,6.2,9.0,0.0,0.0
Matt Gage,657424,Durham Bulls,AAA,P,111.60000000000001,96.0,18.0,6.0
Sawyer Gipson-Long,687830,Durham Bulls,AAA,P,77.70000000000002,84.0,18.0,2.0
Woo-Suk Go,808970,Durham Bulls,AAA,P,117.9,104.0,69.0,15.0
Sean Guenther,674944,Durham Bulls,AAA,P,16.0,14.0,4.0,2.0
Brenan Hanifee,669724,Durham Bulls,AAA,P,6.0,7.0,1.0,0.0
Geoff Hartlieb,664129,Durham Bulls,AAA,P,159.3,186.0,51.0,12.0
Wilkel Hernandez,665859,Durham Bulls,AAA,P,114.1,96.0,44.0,14.0
Codi Heuer,676051,Durham Bulls,AAA,P,144.60000000000002,186.0,51.0,12.0
Bailey Horn,690544,Durham Bulls,AAA,P,84.4,106.0,40.0,8.0
Brant Hurter,676428,Durham Bulls,AAA,P,3.2,2.0,0.0,0.0
Andrew Jenkins,687543,Durham Bulls,AAA,1B,0.1,0.0,0.0,0.0
Alex Lange,656638,Durham Bulls,AAA,P,50.2,64.0,28.0,4.0
Chase Lee,695445,Durham Bulls,AAA,P,32.0,38.0,10.0,4.0
Lael Lockhart,679712,Durham Bulls,AAA,P,207.3,208.0,110.0,20.0
Matt Manning,666159,Durham Bulls,AAA,P,110.4,120.0,88.0,14.0
Nick Margevicius,676606,Durham Bulls,AAA,P,74.0,70.0,18.0,7.0
Tyler Mattison,694331,Durham Bulls,AAA,P,77.3,88.0,60.0,8.0
Troy Melton,675512,Durham Bulls,AAA,P,150.2,202.0,40.0,12.0
Trevin Michael,800723,Durham Bulls,AAA,P,131.3,158.0,48.0,8.0
Joe Miller,701464,Durham Bulls,AAA,P,232.0,202.0,70.0,20.0
Ryan Miller,668943,Durham Bulls,AAA,P,50.0,44.0,16.0,8.0
Keider Montero,672456,Durham Bulls,AAA,P,42.2,43.0,15.0,5.0
Austin Murr,689456,Durham Bulls,AAA,LF,1.2,0.0,0.0,0.0
Tim Naughton,676987,Durham Bulls,AAA,P,70.0,86.0,26.0,4.0
Reese Olson,681857,Durham Bulls,AAA,P,10.1,14.0,2.0,2.0
Tyler Owens,687074,Durham Bulls,AAA,P,60.2,56.0,46.0,10.0
Carlos Peña,685329,Durham Bulls,AAA,P,222.0,192.0,52.0,20.0
RJ Petit,696275,Durham Bulls,AAA,P,132.2,158.0,44.0,8.0
PJ Poulin,676571,Durham Bulls,AAA,P,42.2,62.0,17.0,4.0
Tanner Rainey,663432,Durham Bulls,AAA,P,120.60000000000001,162.0,69.0,3.0
Matt Seelinger,676910,Durham Bulls,AAA,P,130.4,150.0,50.0,12.0
Paul Sewald,623149,Durham Bulls,AAA,P,19.6,20.0,2.0,5.0
Devin Smeltzer,656970,Durham Bulls,AAA,P,10.2,7.0,5.0,0.0
Dylan Smith,681916,Durham Bulls,AAA,P,78.4,114.0,34.0,2.0
Drew Sommers,805427,Durham Bulls,AAA,P,126.2,140.0,42.0,4.0
Thomas Szapucki,663378,Durham Bulls,AAA,P,26.2,34.0,6.0,0.0
Riley Unroe,624523,Durham Bulls,AAA,2B,10.2,0.0,2.0,1.0
José Urquidy,664353,Durham Bulls,AAA,P,42.4,36.0,10.0,4.0
Ricky Vanasco,676568,Durham Bulls,AAA,P,56.2,76.0,40.0,6.0
Troy Watson,681890,Durham Bulls,AAA,P,208.4,194.0,74.0,20.0
Brendan White,686839,Durham Bulls,AAA,P,32.1,27.0,17.0,3.0
Joe Adametz,701564,Montgomery Biscuits,AA,P,120.2,96.0,46.0,14.0
Jordan Balazovic,666364,Montgomery Biscuits,AA,P,114.4,106.0,46.0,16.0
Austin Bergner,666123,Montgomery Biscuits,AA,P,194.0,190.0,86.0,22.0
Ryan Boyer,801682,Montgomery Biscuits,AA,P,176.60000000000002,192.0,54.0,36.0
John Brebbia,605154,Montgomery Biscuits,AA,P,60.60000000000001,66.0,12.0,3.0
Beau Brieske,689225,Montgomery Biscuits,AA,P,22.0,20.0,18.0,8.0
Blair Calvo,663971,Montgomery Biscuits,AA,P,78.6,96.0,36.0,12.0
Andrew Chafin,605177,Montgomery Biscuits,AA,P,12.2,17.0,4.0,0.0
Alex Cobb,502171,Montgomery Biscuits,AA,P,40.4,48.0,30.0,2.0
Ryan Cusick,680743,Montgomery Biscuits,AA,P,130.3,140.0,83.0,30.0
Randy Dobnak,677976,Montgomery Biscuits,AA,P,294.59999999999997,231.0,153.0,39.0
Dietrich Enns,608650,Montgomery Biscuits,AA,P,62.1,71.0,15.0,4.0
Colin Fields,802953,Montgomery Biscuits,AA,P,140.4,172.0,38.0,6.0
Kyle Finnegan,640448,Montgomery Biscuits,AA,P,0.2,1.0,1.0,0.0
Jason Foley,671345,Montgomery Biscuits,AA,P,6.2,9.0,0.0,0.0
Matt Gage,657424,Montgomery Biscuits,AA,P,111.60000000000001,96.0,18.0,6.0
Sawyer Gipson-Long,687830,Montgomery Biscuits,AA,P,77.70000000000002,84.0,18.0,2.0
Woo-Suk Go,808970,Montgomery Biscuits,AA,P,117.9,104.0,69.0,15.0
Sean Guenther,674944,Montgomery Biscuits,AA,P,16.0,14.0,4.0,2.0
Brenan Hanifee,669724,Montgomery Biscuits,AA,P,6.0,7.0,1.0,0.0
Geoff Hartlieb,664129,Montgomery Biscuits,AA,P,159.3,186.0,51.0,12.0
Wilkel Hernandez,665859,Montgomery Biscuits,AA,P,114.1,96.0,44.0,14.0
Codi Heuer,676051,Montgomery Biscuits,AA,P,144.60000000000002,186.0,51.0,12.0
Bailey Horn,690544,Montgomery Biscuits,AA,P,84.4,106.0,40.0,8.0
Brant Hurter,676428,Montgomery Biscuits,AA,P,3.2,2.0,0.0,0.0
Andrew Jenkins,687543,Montgomery Biscuits,AA,1B,0.1,0.0,0.0,0.0
Alex Lange,656638,Montgomery Biscuits,AA,P,50.2,64.0,28.0,4.0
Chase Lee,695445,Montgomery Biscuits,AA,P,32.0,38.0,10.0,4.0
Lael Lockhart,679712,Montgomery Biscuits,AA,P,207.3,208.0,110.0,20.0
Matt Manning,666159,Montgomery Biscuits,AA,P,110.4,120.0,88.0,14.0
Nick Margevicius,676606,Montgomery Biscuits,AA,P,74.0,70.0,18.0,7.0
Tyler Mattison,694331,Montgomery Biscuits,AA,P,77.3,88.0,60.0,8.0
Troy Melton,675512,Montgomery Biscuits,AA,P,150.2,202.0,40.0,12.0
Trevin Michael,800723,Montgomery Biscuits,AA,P,131.3,158.0,48.0,8.0
Joe Miller,701464,Montgomery Biscuits,AA,P,232.0,202.0,70.0,20.0
Ryan Miller,668943,Montgomery Biscuits,AA,P,50.0,44.0,16.0,8.0
Keider Montero,672456,Montgomery Biscuits,AA,P,42.2,43.0,15.0,5.0
Austin Murr,689456,Montgomery Biscuits,AA,LF,1.2,0.0,0.0,0.0
Tim Naughton,676987,Montgomery Biscuits,AA,P,70.0,86.0,26.0,4.0
Reese Olson,681857,Montgomery Biscuits,AA,P,10.1,14.0,2.0,2.0
Tyler Owens,687074,Montgomery Biscuits,AA,P,60.2,56.0,46.0,10.0
Carlos Peña,685329,Montgomery Biscuits,AA,P,222.0,192.0,52.0,20.0
RJ Petit,696275,Montgomery Biscuits,AA,P,132.2,158.0,44.0,8.0
PJ Poulin,676571,Montgomery Biscuits,AA,P,42.2,62.0,17.0,4.0
Tanner Rainey,663432,Montgomery Biscuits,AA,P,120.60000000000001,162.0,69.0,3.0
Matt Seelinger,676910,Montgomery Biscuits,AA,P,130.4,150.0,50.0,12.0
Paul Sewald,623149,Montgomery Biscuits,AA,P,19.6,20.0,2.0,5.0
Devin Smeltzer,656970,Montgomery Biscuits,AA,P,10.2,7.0,5.0,0.0
Dylan Smith,681916,Montgomery Biscuits,AA,P,78.4,114.0,34.0,2.0
Drew Sommers,805427,Montgomery Biscuits,AA,P,126.2,140.0,42.0,4.0
Thomas Szapucki,663378,Montgomery Biscuits,AA,P,26.2,34.0,6.0,0.0
Riley Unroe,624523,Montgomery Biscuits,AA,2B,10.2,0.0,2.0,1.0
José Urquidy,664353,Montgomery Biscuits,AA,P,42.4,36.0,10.0,4.0
Ricky Vanasco,676568,Montgomery Biscuits,AA,P,56.2,76.0,40.0,6.0
Troy Watson,681890,Montgomery Biscuits,AA,P,208.4,194.0,74.0,20.0
Brendan White,686839,Montgomery Biscuits,AA,P,32.1,27.0,17.0,3.0
Joe Adametz,701564,Bowling Green Hot Rods,A+,P,120.2,96.0,46.0,14.0
Jordan Balazovic,666364,Bowling Green Hot Rods,A+,P,114.4,106.0,46.0,16.0
Austin Bergner,666123,Bowling Green Hot Rods,A+,P,194.0,190.0,86.0,22.0
Ryan Boyer,801682,Bowling Green Hot Rods,A+,P,176.60000000000002,192.0,54.0,36.0
John Brebbia,605154,Bowling Green Hot Rods,A+,P,60.60000000000001,66.0,12.0,3.0
Beau Brieske,689225,Bowling Green Hot Rods,A+,P,22.0,20.0,18.0,8.0
Blair Calvo,663971,Bowling Green Hot Rods,A+,P,78.6,96.0,36.0,12.0
Andrew Chafin,605177,Bowling Green Hot Rods,A+,P,12.2,17.0,4.0,0.0
Alex Cobb,502171,Bowling Green Hot Rods,A+,P,40.4,48.0,30.0,2.0
Ryan Cusick,680743,Bowling Green Hot Rods,A+,P,130.3,140.0,83.0,30.0
Randy Dobnak,677976,Bowling Green Hot Rods,A+,P,294.59999999999997,231.0,153.0,39.0
Dietrich Enns,608650,Bowling Green Hot Rods,A+,P,62.1,71.0,15.0,4.0
Colin Fields,802953,Bowling Green Hot Rods,A+,P,140.4,172.0,38.0,6.0
Kyle Finnegan,640448,Bowling Green Hot Rods,A+,P,0.2,1.0,1.0,0.0
Jason Foley,671345,Bowling Green Hot Rods,A+,P,6.2,9.0,0.0,0.0
Matt Gage,657424,Bowling Green Hot Rods,A+,P,111.60000000000001,96.0,18.0,6.0
Sawyer Gipson-Long,687830,Bowling Green Hot Rods,A+,P,77.70000000000002,84.0,18.0,2.0
Woo-Suk Go,808970,Bowling Green Hot Rods,A+,P,117.9,104.0,69.0,15.0
Sean Guenther,674944,Bowling Green Hot Rods,A+,P,16.0,14.0,4.0,2.0
Brenan Hanifee,669724,Bowling Green Hot Rods,A+,P,6.0,7.0,1.0,0.0
Geoff Hartlieb,664129,Bowling Green Hot Rods,A+,P,159.3,186.0,51.0,12.0
Wilkel Hernandez,665859,Bowling Green Hot Rods,A+,P,114.1,96.0,44.0,14.0
Codi Heuer,676051,Bowling Green Hot Rods,A+,P,144.60000000000002,186.0,51.0,12.0
Bailey Horn,690544,Bowling Green Hot Rods,A+,P,84.4,106.0,40.0,8.0
Brant Hurter,676428,Bowling Green Hot Rods,A+,P,3.2,2.0,0.0,0.0
Andrew Jenkins,687543,Bowling Green Hot Rods,A+,1B,0.1,0.0,0.0,0.0
