affiliate,level,player_id,name,pos
Durham Bulls,AAA,701564,Joe Adametz,P
Durham Bulls,AAA,672613,Eliezer Alfonzo,C
Durham Bulls,AAA,801194,Max Anderson,2B
Durham Bulls,AAA,668731,Akil Baddoo,LF
Durham Bulls,AAA,666364,Jordan Balazovic,P
Durham Bulls,AAA,666123,Austin Bergner,P
Durham Bulls,AAA,694425,Justice Bigbie,RF
Durham Bulls,AAA,801682,Ryan Boyer,P
Durham Bulls,AAA,605154,John Brebbia,P
Durham Bulls,AAA,689225,Beau Brieske,P
Durham Bulls,AAA,663971,Blair Calvo,P
Durham Bulls,AAA,681481,Kerry Carpenter,RF
Durham Bulls,AAA,605177,Andrew Chafin,P
Durham Bulls,AAA,502171,Alex Cobb,P
Durham Bulls,AAA,669360,Trei Cruz,CF
Durham Bulls,AAA,680743,Ryan Cusick,P
Durham Bulls,AAA,677976,Randy Dobnak,P
Durham Bulls,AAA,686639,Jack Dunn,3B
Durham Bulls,AAA,608650,Dietrich Enns,P
Durham Bulls,AAA,802953,Colin Fields,P
Durham Bulls,AAA,640448,Kyle Finnegan,P
Durham Bulls,AAA,671345,Jason Foley,P
Durham Bulls,AAA,657424,Matt Gage,P
Durham Bulls,AAA,592325,Ben Gamel,RF
Durham Bulls,AAA,687830,Sawyer Gipson-Long,P
Durham Bulls,AAA,808970,Woo-Suk Go,P
Durham Bulls,AAA,674944,Sean Guenther,P
Durham Bulls,AAA,669724,Brenan Hanifee,P
Durham Bulls,AAA,664129,Geoff Hartlieb,P
Durham Bulls,AAA,682073,David Hensley,OF
Durham Bulls,AAA,665859,Wilkel Hernandez,P
Durham Bulls,AAA,676051,Codi Heuer,P
Durham Bulls,AAA,676551,Brewer Hicklen,RF
Durham Bulls,AAA,690544,Bailey Horn,P
Durham Bulls,AAA,676428,Brant Hurter,P
Durham Bulls,AAA,628451,Andy Ibáñez,3B
Durham Bulls,AAA,687543,Andrew Jenkins,1B
Durham Bulls,AAA,663330,Jahmai Jones,CF
Durham Bulls,AAA,690291,Jace Jung,3B
Durham Bulls,AAA,668952,Ryan Kreidler,CF
Durham Bulls,AAA,656638,Alex Lange,P
Durham Bulls,AAA,695445,Chase Lee,P
Durham Bulls,AAA,701678,Hao-Yu  Lee,2B
Durham Bulls,AAA,679712,Lael Lockhart,P
Durham Bulls,AAA,676632,Bligh Madris,1B
Durham Bulls,AAA,669234,Justyn-Henry Malloy,RF
Durham Bulls,AAA,666159,Matt Manning,P
Durham Bulls,AAA,676606,Nick Margevicius,P
Durham Bulls,AAA,622534,Manuel Margot,RF
Durham Bulls,AAA,694331,Tyler Mattison,P
Durham Bulls,AAA,678009,Parker Meadows,CF
Durham Bulls,AAA,675512,Troy Melton,P
Durham Bulls,AAA,685332,Carlos Mendoza,3B
Durham Bulls,AAA,800723,Trevin Michael,P
Durham Bulls,AAA,701464,Joe Miller,P
Durham Bulls,AAA,668943,Ryan Miller,P
Durham Bulls,AAA,672456,Keider Montero,P
Durham Bulls,AAA,689456,Austin Murr,LF
Durham Bulls,AAA,676987,Tim Naughton,P
Durham Bulls,AAA,685382,Andrew Navigato,SS
Durham Bulls,AAA,621028,Kevin Newman,3B
Durham Bulls,AAA,621512,Tomás Nido,C
Durham Bulls,AAA,681857,Reese Olson,P
