affiliate,level,player_id,name,pos,age
Durham Bulls,AAA,701564,Joe Adametz,P,25.0
Durham Bulls,AAA,672613,Eliezer Alfonzo,C,25.0
Durham Bulls,AAA,801194,Max Anderson,2B,23.0
Durham Bulls,AAA,668731,Akil Baddoo,LF,26.0
Durham Bulls,AAA,666364,Jordan Balazovic,P,26.0
Durham Bulls,AAA,666123,Austin Bergner,P,28.0
Durham Bulls,AAA,694425,Justice Bigbie,RF,26.0
Durham Bulls,AAA,801682,Ryan Boyer,P,28.0
Durham Bulls,AAA,605154,John Brebbia,P,35.0
Durham Bulls,AAA,689225,Beau Brieske,P,27.0
Durham Bulls,AAA,663971,Blair Calvo,P,29.0
Durham Bulls,AAA,681481,Kerry Carpenter,RF,27.0
Durham Bulls,AAA,605177,Andrew Chafin,P,35.0
Durham Bulls,AAA,502171,Alex Cobb,P,37.0
Durham Bulls,AAA,669360,Trei Cruz,CF,26.0
Durham Bulls,AAA,680743,Ryan Cusick,P,25.0
Durham Bulls,AAA,677976,Randy Dobnak,P,30.0
Durham Bulls,AAA,686639,Jack Dunn,3B,28.0
Durham Bulls,AAA,608650,Dietrich Enns,P,34.0
Durham Bulls,AAA,802953,Colin Fields,P,25.0
Durham Bulls,AAA,640448,Kyle Finnegan,P,33.0
Durham Bulls,AAA,671345,Jason Foley,P,29.0
Durham Bulls,AAA,657424,Matt Gage,P,32.0
Durham Bulls,AAA,592325,Ben Gamel,RF,33.0
Durham Bulls,AAA,687830,Sawyer Gipson-Long,P,27.0
Durham Bulls,AAA,808970,Woo-Suk Go,P,26.0
Durham Bulls,AAA,674944,Sean Guenther,P,29.0
Durham Bulls,AAA,669724,Brenan Hanifee,P,27.0
Durham Bulls,AAA,664129,Geoff Hartlieb,P,31.0
Durham Bulls,AAA,682073,David Hensley,OF,29.0
Durham Bulls,AAA,665859,Wilkel Hernandez,P,26.0
Durham Bulls,AAA,676051,Codi Heuer,P,28.0
Durham Bulls,AAA,676551,Brewer Hicklen,RF,29.0
Durham Bulls,AAA,690544,Bailey Horn,P,27.0
Durham Bulls,AAA,676428,Brant Hurter,P,26.0
Durham Bulls,AAA,628451,Andy Ibáñez,3B,32.0
Durham Bulls,AAA,687543,Andrew Jenkins,1B,24.0
Durham Bulls,AAA,663330,Jahmai Jones,CF,27.0
Durham Bulls,AAA,690291,Jace Jung,3B,24.0
Durham Bulls,AAA,668952,Ryan Kreidler,CF,27.0
Durham Bulls,AAA,656638,Alex Lange,P,29.0
Durham Bulls,AAA,695445,Chase Lee,P,26.0
Durham Bulls,AAA,701678,Hao-Yu  Lee,2B,22.0
Durham Bulls,AAA,679712,Lael Lockhart,P,27.0
Durham Bulls,AAA,676632,Bligh Madris,1B,29.0
Durham Bulls,AAA,669234,Justyn-Henry Malloy,RF,25.0
Durham Bulls,AAA,666159,Matt Manning,P,27.0
Durham Bulls,AAA,676606,Nick Margevicius,P,29.0
Durham Bulls,AAA,622534,Manuel Margot,RF,30.0
Durham Bulls,AAA,694331,Tyler Mattison,P,25.0
Durham Bulls,AAA,678009,Parker Meadows,CF,25.0
Durham Bulls,AAA,675512,Troy Melton,P,24.0
Durham Bulls,AAA,685332,Carlos Mendoza,3B,25.0
Durham Bulls,AAA,800723,Trevin Michael,P,27.0
Durham Bulls,AAA,701464,Joe Miller,P,25.0
Durham Bulls,AAA,668943,Ryan Miller,P,29.0
Durham Bulls,AAA,672456,Keider Montero,P,24.0
Durham Bulls,AAA,689456,Austin Murr,LF,26.0
Durham Bulls,AAA,676987,Tim Naughton,P,29.0
Durham Bulls,AAA,685382,Andrew Navigato,SS,27.0
Durham Bulls,AAA,621028,Kevin Newman,3B,31.0
Durham Bulls,AAA,621512,Tomás Nido,C,31.0
Durham Bulls,AAA,681857,Reese Olson,P,25.0
Durham Bulls,AAA,687074,Tyler Owens,P,24.0
Durham Bulls,AAA,685329,Carlos Peña,P,26.0
Durham Bulls,AAA,672761,Wenceel Pérez,RF,25.0
Durham Bulls,AAA,696275,RJ Petit,P,25.0
Durham Bulls,AAA,676571,PJ Poulin,P,28.0
Durham Bulls,AAA,663432,Tanner Rainey,P,32.0
Durham Bulls,AAA,668670,Jake Rogers,C,30.0
Durham Bulls,AAA,679663,Stephen Scott,C,28.0
Durham Bulls,AAA,676910,Matt Seelinger,P,30.0
Durham Bulls,AAA,661531,Brian Serven,C,30.0
Durham Bulls,AAA,623149,Paul Sewald,P,35.0
Durham Bulls,AAA,656970,Devin Smeltzer,P,29.0
Durham Bulls,AAA,681916,Dylan Smith,P,25.0
Durham Bulls,AAA,805427,Drew Sommers,P,24.0
Durham Bulls,AAA,700242,Trey Sweeney,SS,25.0
Durham Bulls,AAA,663378,Thomas Szapucki,P,29.0
Durham Bulls,AAA,624523,Riley Unroe,2B,29.0
Durham Bulls,AAA,664353,José Urquidy,P,30.0
Durham Bulls,AAA,680664,Eduardo Valencia,C,25.0
Durham Bulls,AAA,676568,Ricky Vanasco,P,26.0
Durham Bulls,AAA,663837,Matt Vierling,CF,28.0
Durham Bulls,AAA,681890,Troy Watson,P,28.0
Durham Bulls,AAA,686839,Brendan White,P,26.0
Durham Bulls,AAA,669398,Gage Workman,3B,25.0
Montgomery Biscuits,AA,701564,Joe Adametz,P,25.0
Montgomery Biscuits,AA,672613,Eliezer Alfonzo,C,25.0
Montgomery Biscuits,AA,801194,Max Anderson,2B,23.0
Montgomery Biscuits,AA,668731,Akil Baddoo,LF,26.0
Montgomery Biscuits,AA,666364,Jordan Balazovic,P,26.0
Montgomery Biscuits,AA,666123,Austin Bergner,P,28.0
Montgomery Biscuits,AA,694425,Justice Bigbie,RF,26.0
Montgomery Biscuits,AA,801682,Ryan Boyer,P,28.0
Montgomery Biscuits,AA,605154,John Brebbia,P,35.0
Montgomery Biscuits,AA,689225,Beau Brieske,P,27.0
Montgomery Biscuits,AA,663971,Blair Calvo,P,29.0
Montgomery Biscuits,AA,681481,Kerry Carpenter,RF,27.0
Montgomery Biscuits,AA,605177,Andrew Chafin,P,35.0
Montgomery Biscuits,AA,502171,Alex Cobb,P,37.0
Montgomery Biscuits,AA,669360,Trei Cruz,CF,26.0
Montgomery Biscuits,AA,680743,Ryan Cusick,P,25.0
Montgomery Biscuits,AA,677976,Randy Dobnak,P,30.0
Montgomery Biscuits,AA,686639,Jack Dunn,3B,28.0
Montgomery Biscuits,AA,608650,Dietrich Enns,P,34.0
Montgomery Biscuits,AA,802953,Colin Fields,P,25.0
Montgomery Biscuits,AA,640448,Kyle Finnegan,P,33.0
Montgomery Biscuits,AA,671345,Jason Foley,P,29.0
Montgomery Biscuits,AA,657424,Matt Gage,P,32.0
Montgomery Biscuits,AA,592325,Ben Gamel,RF,33.0
Montgomery Biscuits,AA,687830,Sawyer Gipson-Long,P,27.0
Montgomery Biscuits,AA,808970,Woo-Suk Go,P,26.0
Montgomery Biscuits,AA,674944,Sean Guenther,P,29.0
Montgomery Biscuits,AA,669724,Brenan Hanifee,P,27.0
Montgomery Biscuits,AA,664129,Geoff Hartlieb,P,31.0
Montgomery Biscuits,AA,682073,David Hensley,OF,29.0
Montgomery Biscuits,AA,665859,Wilkel Hernandez,P,26.0
Montgomery Biscuits,AA,676051,Codi Heuer,P,28.0
Montgomery Biscuits,AA,676551,Brewer Hicklen,RF,29.0
Montgomery Biscuits,AA,690544,Bailey Horn,P,27.0
Montgomery Biscuits,AA,676428,Brant Hurter,P,26.0
Montgomery Biscuits,AA,628451,Andy Ibáñez,3B,32.0
Montgomery Biscuits,AA,687543,Andrew Jenkins,1B,24.0
Montgomery Biscuits,AA,663330,Jahmai Jones,CF,27.0
Montgomery Biscuits,AA,690291,Jace Jung,3B,24.0
Montgomery Biscuits,AA,668952,Ryan Kreidler,CF,27.0
Montgomery Biscuits,AA,656638,Alex Lange,P,29.0
Montgomery Biscuits,AA,695445,Chase Lee,P,26.0
Montgomery Biscuits,AA,701678,Hao-Yu  Lee,2B,22.0
Montgomery Biscuits,AA,679712,Lael Lockhart,P,27.0
Montgomery Biscuits,AA,676632,Bligh Madris,1B,29.0
Montgomery Biscuits,AA,669234,Justyn-Henry Malloy,RF,25.0
Montgomery Biscuits,AA,666159,Matt Manning,P,27.0
Montgomery Biscuits,AA,676606,Nick Margevicius,P,29.0
Montgomery Biscuits,AA,622534,Manuel Margot,RF,30.0
Montgomery Biscuits,AA,694331,Tyler Mattison,P,25.0
Montgomery Biscuits,AA,678009,Parker Meadows,CF,25.0
Montgomery Biscuits,AA,675512,Troy Melton,P,24.0
Montgomery Biscuits,AA,685332,Carlos Mendoza,3B,25.0
Montgomery Biscuits,AA,800723,Trevin Michael,P,27.0
Montgomery Biscuits,AA,701464,Joe Miller,P,25.0
Montgomery Biscuits,AA,668943,Ryan Miller,P,29.0
Montgomery Biscuits,AA,672456,Keider Montero,P,24.0
Montgomery Biscuits,AA,689456,Austin Murr,LF,26.0
Montgomery Biscuits,AA,676987,Tim Naughton,P,29.0
Montgomery Biscuits,AA,685382,Andrew Navigato,SS,27.0
Montgomery Biscuits,AA,621028,Kevin Newman,3B,31.0
Montgomery Biscuits,AA,621512,Tomás Nido,C,31.0
Montgomery Biscuits,AA,681857,Reese Olson,P,25.0
Montgomery Biscuits,AA,687074,Tyler Owens,P,24.0
Montgomery Biscuits,AA,685329,Carlos Peña,P,26.0
Montgomery Biscuits,AA,672761,Wenceel Pérez,RF,25.0
Montgomery Biscuits,AA,696275,RJ Petit,P,25.0
Montgomery Biscuits,AA,676571,PJ Poulin,P,28.0
Montgomery Biscuits,AA,663432,Tanner Rainey,P,32.0
Montgomery Biscuits,AA,668670,Jake Rogers,C,30.0
Montgomery Biscuits,AA,679663,Stephen Scott,C,28.0
Montgomery Biscuits,AA,676910,Matt Seelinger,P,30.0
Montgomery Biscuits,AA,661531,Brian Serven,C,30.0
Montgomery Biscuits,AA,623149,Paul Sewald,P,35.0
Montgomery Biscuits,AA,656970,Devin Smeltzer,P,29.0
Montgomery Biscuits,AA,681916,Dylan Smith,P,25.0
Montgomery Biscuits,AA,805427,Drew Sommers,P,24.0
Montgomery Biscuits,AA,700242,Trey Sweeney,SS,25.0
Montgomery Biscuits,AA,663378,Thomas Szapucki,P,29.0
Montgomery Biscuits,AA,624523,Riley Unroe,2B,29.0
Montgomery Biscuits,AA,664353,José Urquidy,P,30.0
Montgomery Biscuits,AA,680664,Eduardo Valencia,C,25.0
Montgomery Biscuits,AA,676568,Ricky Vanasco,P,26.0
Montgomery Biscuits,AA,663837,Matt Vierling,CF,28.0
Montgomery Biscuits,AA,681890,Troy Watson,P,28.0
Montgomery Biscuits,AA,686839,Brendan White,P,26.0
Montgomery Biscuits,AA,669398,Gage Workman,3B,25.0
Bowling Green Hot Rods,A+,701564,Joe Adametz,P,25.0
Bowling Green Hot Rods,A+,672613,Eliezer Alfonzo,C,25.0
Bowling Green Hot Rods,A+,801194,Max Anderson,2B,23.0
Bowling Green Hot Rods,A+,668731,Akil Baddoo,LF,26.0
Bowling Green Hot Rods,A+,666364,Jordan Balazovic,P,26.0
Bowling Green Hot Rods,A+,666123,Austin Bergner,P,28.0
Bowling Green Hot Rods,A+,694425,Justice Bigbie,RF,26.0
Bowling Green Hot Rods,A+,801682,Ryan Boyer,P,28.0
Bowling Green Hot Rods,A+,605154,John Brebbia,P,35.0
Bowling Green Hot Rods,A+,689225,Beau Brieske,P,27.0
Bowling Green Hot Rods,A+,663971,Blair Calvo,P,29.0
Bowling Green Hot Rods,A+,681481,Kerry Carpenter,RF,27.0
Bowling Green Hot Rods,A+,605177,Andrew Chafin,P,35.0
Bowling Green Hot Rods,A+,502171,Alex Cobb,P,37.0
Bowling Green Hot Rods,A+,669360,Trei Cruz,CF,26.0
